1994,19097384
1995,18768587
1996,19995614
1997,20352433
1998,20759508
1999,20963372
2000,21603766
2001,21873174
2002,22446701
2003,22862787
2004,23275970
2005,23810145
2006,24046931
2007,24486691
2008,25385922
2009,25762979
2010,26797240
2011,26870652
2012,27117298
2013,27313175
2014,27762628
